[RegionCode],[RegionName],[Endpoint]
us-east-1,US East (N. Virginia),http://3.80.0.0/green-icon.gif
us-east-2,US East (Ohio),http://3.13.0.254/green-icon.gif
us-west-1,US West (N. California),http://13.52.0.0/green-icon.gif
us-west-2,US West (Oregon),http://18.236.0.0/green-icon.gif
ca-central-1,Canada (Central),http://15.222.0.0/green-icon.gif
eu-central-1,EU (Frankfurt),http://3.120.0.0/green-icon.gif
eu-west-1,EU (Ireland),http://3.248.0.0/green-icon.gif
eu-west-2,EU (London),http://3.8.0.0/green-icon.gif
eu-west-3,EU (Paris),http://15.188.0.0/green-icon.gif
eu-north-1,EU (Stockholm),http://13.48.0.0/green-icon.gif
ap-east-1,Asia Pacific (Hong Kong),http://18.162.80.8/green-icon.gif
ap-northeast-1,Asia Pacific (Tokyo),http://3.112.0.0/green-icon.gif
ap-northeast-2,Asia Pacific (Seoul),http://13.124.63.251/green-icon.gif
ap-northeast-3,Asia Pacific (Osaka-Local),http://13.208.32.253/green-icon.gif
ap-southeast-1,Asia Pacific (Singapore),http://3.0.0.9/green-icon.gif
ap-southeast-2,Asia Pacific (Sydney),http://3.24.0.0/green-icon.gif
ap-south-1,Asia Pacific (Mumbai),http://13.126.0.252/green-icon.gif
me-south-1,Middle East (Bahrain),http://15.185.32.254/green-icon.gif
sa-east-1,South America (São Paulo),http://18.228.0.0/green-icon.gif
