[RegionCode],[RegionName],[Endpoint]
centralus,United States (Central US),http://astcentralus.blob.core.windows.net/public/callback.js
eastus2,United States (East US 2),http://asteastus2.blob.core.windows.net/public/callback.js
eastus,United States (East US),http://asteastus.blob.core.windows.net/public/callback.js
northcentralus,United States (North Central US),http://astnorthcentralus.blob.core.windows.net/public/callback.js
southcentralus,United States (South Central US),http://astsouthcentralus.blob.core.windows.net/public/callback.js
westus2,United States (West US 2),http://astwestus2.blob.core.windows.net/public/callback.js
westcentralus,United States (West Central US),http://astwestcentralus.blob.core.windows.net/public/callback.js
westus,United States (West US),http://astwestus.blob.core.windows.net/public/callback.js
canadacentral,Canada (Canada Central),http://astcanadacentral.blob.core.windows.net/public/callback.js
canadaeast,Canada (Canada East),http://astcanadaeast.blob.core.windows.net/public/callback.js
brazilsouth,Brazil (Brazil South),http://astbrazilsouth.blob.core.windows.net/public/callback.js
northeurope,Europe (North Europe),http://astnortheurope.blob.core.windows.net/public/callback.js
westeurope,Europe (West Europe),http://astwesteurope.blob.core.windows.net/public/callback.js
francecentral,France (France Central),http://astfrancecentral.blob.core.windows.net/public/callback.js
uksouth,United Kingdom (UK South),http://astuksouth.blob.core.windows.net/public/callback.js
ukwest,United Kingdom (UK West),http://astukwest.blob.core.windows.net/public/callback.js
eastasia,Asia Pacific (East Asia),http://asteastasia.blob.core.windows.net/public/callback.js
southeastasia,Asia Pacific (Southeast Asia),http://astsoutheastasia.blob.core.windows.net/public/callback.js
australiaeast,Australia (Australia East),http://astaustraliaeast.blob.core.windows.net/public/callback.js
australiasoutheast,Australia (Australia Southeast),http://astaustraliasoutheast.blob.core.windows.net/public/callback.js
centralindia,India (Central India),http://astcentralindia.blob.core.windows.net/public/callback.js
southindia,India (South India),http://astsouthindia.blob.core.windows.net/public/callback.js
westindia,India (West India),http://astwestindia.blob.core.windows.net/public/callback.js
japaneast,Japan (Japan East),http://astjapaneast.blob.core.windows.net/public/callback.js
japanwest,Japan (Japan West),http://astjapanwest.blob.core.windows.net/public/callback.js
koreacentral,Korea (Korea Central),http://astkoreacentral.blob.core.windows.net/public/callback.js
koreasouth,Korea (Korea South),http://astkoreasouth.blob.core.windows.net/public/callback.js
southafricanorth,Africa (South Africa North),http://astsouthafricanorth.blob.core.windows.net/public/callback.js
