[RegionCode],[RegionName],[Endpoint]
global,Global HTTP Load Balancer,http://35.186.221.153/ping
asia-east1,Changhua County - Taiwan,http://104.155.201.52/ping
asia-east2,Hong Kong,http://35.220.162.209/ping
asia-northeast1,Tokyo - Japan,http://104.198.86.148/ping
asia-northeast2,Osaka - Japan,http://34.97.196.51/ping
asia-south1,Mumbai - India,http://35.200.186.152/ping
asia-southeast1,Jurong West - Singapore,http://35.185.179.198/ping
australia-southeast1,Sydney - Australia,http://35.189.6.113/ping
europe-north1,Hamina - Finland,http://35.228.170.201/ping
europe-west1,St. Ghislain - Belgium,http://104.199.82.109/ping
europe-west2,London - UK,http://35.189.67.146/ping
europe-west3,Frankfurt - Germany,http://35.198.78.172/ping
europe-west4,Eemshaven - Netherlands,http://35.204.93.82/ping
europe-west6,Zürich - Switzerland,http://34.65.3.254/ping
northamerica-northeast1,Québec - Canada,http://35.203.57.164/ping
southamerica-east1,Osasco (São Paulo) - Brazil,http://35.198.10.68/ping
us-central1,Iowa - USA,http://104.197.165.8/ping
us-east1,South Carolina - USA,http://104.196.161.21/ping
us-east4,Northern Virginia - USA,http://35.186.168.152/ping
us-west1,Oregon - USA,http://104.199.116.74/ping
us-west2,California - USA,http://35.236.45.25/ping
